date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-01-03,76.959412,77.458762,75.927021,76.44,8408766.399729423,28.468815,28.770687,28.104405,28.394991,14714247.280154027,0.0,1.0
2017-01-04,77.380895,77.849011,76.708001,77.187831,7685855.153501926,28.865513,29.043815,28.442268,28.591002,12400983.389114372,0.0,1.0
2017-01-05,77.953751,78.18765,77.033493,77.287397,7765184.462483089,29.085222,29.293919,28.662688,28.82431,12476423.921948176,0.0,1.0
2017-01-06,78.90165,79.300579,77.625527,78.083038,9732047.424185658,29.348375,29.583669,28.909507,29.156532,15995174.409511914,0.044328233947341034,1.0
2017-01-09,79.002075,79.384431,78.457299,78.931283,7744334.63627849,29.377497,29.573604,29.140261,29.355928,12507411.682589239,0.0,1.0
2017-01-10,78.911921,79.405682,78.519576,79.005963,6977994.257050683,29.372965,29.646062,29.144162,29.376405,11337176.84712249,0.0,1.0
2017-01-11,79.317016,79.422418,78.508334,78.960996,7337425.036528256,29.564492,29.677835,29.236423,29.41353,11775389.770423563,0.0,1.0
2017-01-12,79.186816,79.386442,78.396432,79.138487,6647490.714642523,29.486905,29.643881,29.194726,29.478938,11269294.827661572,0.0,1.0
2017-01-13,79.624127,80.005207,79.235013,79.382149,7747217.32563222,29.826385,30.010123,29.549282,29.620606,12023901.78187116,0.0,1.0
2017-01-17,79.486095,79.834275,78.85368,79.482399,6998812.933499846,29.887297,30.093912,29.53664,29.762692,11952984.353834948,0.0,1.0
2017-01-18,79.588826,79.781066,79.008187,79.642088,6642230.456030805,29.906168,30.076061,29.644048,29.956308,10717283.186595898,0.0,1.0
2017-01-19,79.491508,80.311237,79.303146,79.837501,6780739.8475387655,30.059237,30.419442,29.923842,30.199589,10310682.3048184,0.0,1.0
2017-01-20,79.755636,80.082303,79.367473,79.908911,7568508.129670103,30.109395,30.362091,29.957137,30.210174,12830389.160162346,0.0,1.0
2017-01-23,80.787488,81.036232,79.576332,79.929828,6912278.984493704,30.245702,30.428445,29.980615,30.13648,14302393.29212197,0.0,1.0
2017-01-24,81.225634,81.492086,80.500571,80.988165,7805555.720886668,30.411283,30.56921,30.112839,30.322921,13330312.875637427,0.0,1.0
2017-01-25,82.045645,82.218934,81.178862,81.622421,8105868.769382871,30.6352,30.805655,30.362509,30.549727,13879376.3304194,0.0,1.0
2017-01-26,82.456296,83.074723,81.698797,82.561816,10154632.229056092,31.161226,31.499862,30.807438,31.107251,21374073.529295452,0.0,1.0
2017-01-27,81.769735,83.319327,81.157164,82.63882,7784817.216255592,31.078589,31.449034,30.683889,31.227431,18703105.085752938,0.0,1.0
2017-01-30,80.385464,81.333566,79.780028,81.189148,7730492.427724008,30.931483,31.103376,30.519195,31.001564,18655982.261629727,0.0,1.0
2017-01-31,80.036165,80.402741,79.386101,79.953293,7966062.931210325,30.847329,31.014564,30.617326,30.807941,15107478.911437197,0.0,1.0
2017-02-01,80.094266,80.749129,79.448252,80.395366,14188761.341242585,31.096043,31.325666,30.695221,31.025999,21444795.595795613,0.0,1.0
2017-02-02,79.949239,80.800034,79.436618,79.985052,13556933.198876059,30.796082,31.333342,30.681756,31.06592,19123080.439379755,0.0,1.0
2017-02-03,80.198982,80.77326,79.958007,80.324465,7825436.321781662,30.902807,31.177122,30.744108,30.910519,12863115.006764494,0.0,1.0
2017-02-06,80.219392,80.418421,79.487468,80.129451,6124104.808825062,30.885332,31.057445,30.578304,30.875805,10435044.260380896,0.0,1.0
2017-02-07,80.690014,81.086693,80.131965,80.448195,6458681.827453431,30.972159,31.196726,30.770794,30.946164,11440637.642834842,0.0,1.0
2017-02-08,80.958893,81.439577,80.371715,80.828557,7854357.872515351,31.180642,31.439907,30.909955,31.086429,12065448.200333025,0.0,1.0
2017-02-09,81.105582,81.32342,80.557375,81.11124,5991462.418565928,31.280229,31.422367,31.011642,31.26033,9744129.154750757,0.0,1.0
2017-02-10,81.529819,81.803031,81.003254,81.333343,6344511.635029662,31.433309,31.605795,31.183134,31.374074,10632859.682485173,0.0,1.0
